06:59:08 Step    1 | loss=-0.4338 | avg_loss=-0.4338 | tokens=3808 | queue=0
07:04:17 Step    2 | loss=-0.4074 | avg_loss=-0.4206 | tokens=4342 | queue=0
07:09:24 Step    3 | loss=-0.5059 | avg_loss=-0.4490 | tokens=3975 | queue=0
07:14:33 Step    4 | loss=-0.4219 | avg_loss=-0.4422 | tokens=3900 | queue=0
07:19:39 Step    5 | loss=-0.4246 | avg_loss=-0.4387 | tokens=4116 | queue=0
07:24:48 Step    6 | loss=-0.4877 | avg_loss=-0.4469 | tokens=3753 | queue=0
07:29:59 Step    7 | loss=-0.4452 | avg_loss=-0.4466 | tokens=4125 | queue=0
07:35:05 Step    8 | loss=-0.3412 | avg_loss=-0.4335 | tokens=4031 | queue=1
07:40:12 Step    9 | loss=-0.5311 | avg_loss=-0.4443 | tokens=3784 | queue=0
07:45:18 Step   10 | loss=-0.5349 | avg_loss=-0.4534 | tokens=3982 | queue=0
07:50:28 Step   11 | loss=-0.4143 | avg_loss=-0.4498 | tokens=3684 | queue=0
07:55:36 Step   12 | loss=-0.4296 | avg_loss=-0.4481 | tokens=4224 | queue=0
08:00:47 Step   13 | loss=-0.3934 | avg_loss=-0.4439 | tokens=4290 | queue=0
08:05:57 Step   14 | loss=-0.5000 | avg_loss=-0.4479 | tokens=4070 | queue=0
08:11:04 Step   15 | loss=-0.3640 | avg_loss=-0.4423 | tokens=4305 | queue=0
08:16:10 Step   16 | loss=-0.4416 | avg_loss=-0.4423 | tokens=3820 | queue=0
08:21:20 Step   17 | loss=-0.4431 | avg_loss=-0.4423 | tokens=4127 | queue=0
08:26:26 Step   18 | loss=-0.4477 | avg_loss=-0.4426 | tokens=3923 | queue=0
08:31:31 Step   19 | loss=-0.4937 | avg_loss=-0.4453 | tokens=3762 | queue=0
08:36:42 Step   20 | loss=-0.4135 | avg_loss=-0.4437 | tokens=3912 | queue=1
08:41:51 Step   21 | loss=-0.4061 | avg_loss=-0.4419 | tokens=4536 | queue=0
08:46:59 Step   22 | loss=-0.4358 | avg_loss=-0.4417 | tokens=4210 | queue=0
08:52:07 Step   23 | loss=-0.4806 | avg_loss=-0.4433 | tokens=3531 | queue=0
08:57:14 Step   24 | loss=-0.4360 | avg_loss=-0.4430 | tokens=4010 | queue=0
09:02:21 Step   25 | loss=-0.3708 | avg_loss=-0.4402 | tokens=3971 | queue=1
09:07:30 Step   26 | loss=-0.4403 | avg_loss=-0.4402 | tokens=4316 | queue=0
09:12:40 Step   27 | loss=-0.4584 | avg_loss=-0.4408 | tokens=3944 | queue=0
09:17:49 Step   28 | loss=-0.5326 | avg_loss=-0.4441 | tokens=3673 | queue=0
09:22:58 Step   29 | loss=-0.5014 | avg_loss=-0.4461 | tokens=3925 | queue=1
09:28:06 Step   30 | loss=-0.4892 | avg_loss=-0.4475 | tokens=4197 | queue=0
09:33:14 Step   31 | loss=-0.4300 | avg_loss=-0.4470 | tokens=3892 | queue=0
09:38:22 Step   32 | loss=-0.4105 | avg_loss=-0.4458 | tokens=4193 | queue=0
09:43:30 Step   33 | loss=-0.5293 | avg_loss=-0.4483 | tokens=3536 | queue=0
09:48:40 Step   34 | loss=-0.4578 | avg_loss=-0.4486 | tokens=4543 | queue=0
09:53:48 Step   35 | loss=-0.5272 | avg_loss=-0.4509 | tokens=3686 | queue=0
09:58:57 Step   36 | loss=-0.4622 | avg_loss=-0.4512 | tokens=4098 | queue=0
10:04:04 Step   37 | loss=-0.3773 | avg_loss=-0.4492 | tokens=4220 | queue=0
10:09:13 Step   38 | loss=-0.4577 | avg_loss=-0.4494 | tokens=3990 | queue=0
10:14:20 Step   39 | loss=-0.5459 | avg_loss=-0.4519 | tokens=3726 | queue=0
10:19:27 Step   40 | loss=-0.5218 | avg_loss=-0.4536 | tokens=4045 | queue=0
10:24:37 Step   41 | loss=-0.5445 | avg_loss=-0.4558 | tokens=3714 | queue=0
10:29:45 Step   42 | loss=-0.4274 | avg_loss=-0.4552 | tokens=4276 | queue=0
10:34:55 Step   43 | loss=-0.4955 | avg_loss=-0.4561 | tokens=3477 | queue=0
10:40:02 Step   44 | loss=-0.4303 | avg_loss=-0.4555 | tokens=4220 | queue=0
10:45:10 Step   45 | loss=-0.4362 | avg_loss=-0.4551 | tokens=4300 | queue=0
10:50:20 Step   46 | loss=-0.4474 | avg_loss=-0.4549 | tokens=3991 | queue=0
10:55:28 Step   47 | loss=-0.4416 | avg_loss=-0.4546 | tokens=3916 | queue=0
11:00:34 Step   48 | loss=-0.4675 | avg_loss=-0.4549 | tokens=3687 | queue=1
11:05:41 Step   49 | loss=-0.4507 | avg_loss=-0.4548 | tokens=3803 | queue=0
11:10:52 Step   50 | loss=-0.4938 | avg_loss=-0.4556 | tokens=4040 | queue=0
11:16:00 Step   51 | loss=-0.4871 | avg_loss=-0.4562 | tokens=4074 | queue=0
11:21:08 Step   52 | loss=-0.4617 | avg_loss=-0.4563 | tokens=4022 | queue=1
11:26:13 Step   53 | loss=-0.4436 | avg_loss=-0.4561 | tokens=3979 | queue=0
