02:47:54 Step    1 | loss=-0.1683 | avg_loss=-0.1683 | tokens=2408 | queue=0
02:53:04 Step    2 | loss=-0.1422 | avg_loss=-0.1553 | tokens=2408 | queue=0
02:58:14 Step    3 | loss=-0.1870 | avg_loss=-0.1658 | tokens=3010 | queue=0
03:03:25 Step    4 | loss=-0.3880 | avg_loss=-0.2214 | tokens=1887 | queue=0
03:08:36 Step    5 | loss=-0.1678 | avg_loss=-0.2107 | tokens=3018 | queue=0
03:13:48 Step    6 | loss=-0.2955 | avg_loss=-0.2248 | tokens=2458 | queue=0
03:18:59 Step    7 | loss=-0.1584 | avg_loss=-0.2153 | tokens=3010 | queue=0
03:24:11 Step    8 | loss=-0.1459 | avg_loss=-0.2066 | tokens=2408 | queue=0
03:29:22 Step    9 | loss=-0.2061 | avg_loss=-0.2066 | tokens=2596 | queue=0
03:34:31 Step   10 | loss=-0.2144 | avg_loss=-0.2074 | tokens=2279 | queue=0
03:39:44 Step   11 | loss=-0.1587 | avg_loss=-0.2029 | tokens=2433 | queue=0
03:44:53 Step   12 | loss=-0.1933 | avg_loss=-0.2021 | tokens=2441 | queue=0
03:50:04 Step   13 | loss=-0.2212 | avg_loss=-0.2036 | tokens=2431 | queue=0
03:55:14 Step   14 | loss=-0.2146 | avg_loss=-0.2044 | tokens=2424 | queue=0
04:00:26 Step   15 | loss=-0.2684 | avg_loss=-0.2086 | tokens=2463 | queue=0
04:05:34 Step   16 | loss=-0.1521 | avg_loss=-0.2051 | tokens=2349 | queue=1
04:10:46 Step   17 | loss=-0.1238 | avg_loss=-0.2003 | tokens=3010 | queue=0
04:15:54 Step   18 | loss=-0.2050 | avg_loss=-0.2006 | tokens=2429 | queue=0
04:21:02 Step   19 | loss=0.0132 | avg_loss=-0.1893 | tokens=2021 | queue=0
04:26:08 Step   20 | loss=-0.2843 | avg_loss=-0.1941 | tokens=1833 | queue=0
04:31:18 Step   21 | loss=-0.2385 | avg_loss=-0.1962 | tokens=2500 | queue=0
04:36:29 Step   22 | loss=-0.2010 | avg_loss=-0.1964 | tokens=2407 | queue=0
04:41:41 Step   23 | loss=-0.0933 | avg_loss=-0.1919 | tokens=3010 | queue=0
04:46:52 Step   24 | loss=-0.0505 | avg_loss=-0.1860 | tokens=2408 | queue=1
04:52:01 Step   25 | loss=-0.1732 | avg_loss=-0.1855 | tokens=2593 | queue=0
04:57:13 Step   26 | loss=-0.1686 | avg_loss=-0.1849 | tokens=2443 | queue=0
05:02:21 Step   27 | loss=-0.1388 | avg_loss=-0.1832 | tokens=2408 | queue=0
05:07:31 Step   28 | loss=-0.1798 | avg_loss=-0.1831 | tokens=3016 | queue=0
05:12:43 Step   29 | loss=-0.2797 | avg_loss=-0.1864 | tokens=2296 | queue=0
05:17:55 Step   30 | loss=-0.2809 | avg_loss=-0.1895 | tokens=2434 | queue=0
05:23:08 Step   31 | loss=-0.1979 | avg_loss=-0.1898 | tokens=2427 | queue=0
05:28:19 Step   32 | loss=-0.2330 | avg_loss=-0.1912 | tokens=2590 | queue=0
05:33:26 Step   33 | loss=-0.1378 | avg_loss=-0.1895 | tokens=2408 | queue=0
05:38:38 Step   34 | loss=-0.2223 | avg_loss=-0.1905 | tokens=2975 | queue=0
05:43:48 Step   35 | loss=-0.3768 | avg_loss=-0.1958 | tokens=1870 | queue=1
05:49:00 Step   36 | loss=-0.2563 | avg_loss=-0.1975 | tokens=2464 | queue=1
05:54:09 Step   37 | loss=-0.2806 | avg_loss=-0.1997 | tokens=2410 | queue=0
05:59:20 Step   38 | loss=-0.1476 | avg_loss=-0.1984 | tokens=2423 | queue=0
06:04:33 Step   39 | loss=-0.2739 | avg_loss=-0.2003 | tokens=2434 | queue=1
06:09:44 Step   40 | loss=-0.1515 | avg_loss=-0.1991 | tokens=3002 | queue=0
06:14:56 Step   41 | loss=-0.1330 | avg_loss=-0.1975 | tokens=2408 | queue=0
06:20:04 Step   42 | loss=-0.0737 | avg_loss=-0.1945 | tokens=2353 | queue=0
06:25:14 Step   43 | loss=-0.3581 | avg_loss=-0.1983 | tokens=2206 | queue=0
06:30:22 Step   44 | loss=-0.4390 | avg_loss=-0.2038 | tokens=1830 | queue=1
06:35:36 Step   45 | loss=-0.2848 | avg_loss=-0.2056 | tokens=2444 | queue=0
06:40:45 Step   46 | loss=-0.2363 | avg_loss=-0.2063 | tokens=2312 | queue=0
06:45:54 Step   47 | loss=-0.2283 | avg_loss=-0.2067 | tokens=2439 | queue=0
06:51:04 Step   48 | loss=-0.2103 | avg_loss=-0.2068 | tokens=2494 | queue=0
06:56:15 Step   49 | loss=-0.2114 | avg_loss=-0.2069 | tokens=2404 | queue=0
07:01:28 Step   50 | loss=-0.3394 | avg_loss=-0.2096 | tokens=2424 | queue=0
07:06:39 Step   51 | loss=-0.1956 | avg_loss=-0.2093 | tokens=2410 | queue=1
07:11:48 Step   52 | loss=-0.3045 | avg_loss=-0.2111 | tokens=1847 | queue=0
07:16:58 Step   53 | loss=-0.1619 | avg_loss=-0.2102 | tokens=2408 | queue=0
07:22:10 Step   54 | loss=-0.2527 | avg_loss=-0.2110 | tokens=2504 | queue=0
07:27:17 Step   55 | loss=-0.2828 | avg_loss=-0.2123 | tokens=2408 | queue=0
07:32:31 Step   56 | loss=-0.3197 | avg_loss=-0.2142 | tokens=3055 | queue=0
07:37:41 Step   57 | loss=-0.1386 | avg_loss=-0.2129 | tokens=2410 | queue=0
07:42:51 Step   58 | loss=-0.2184 | avg_loss=-0.2130 | tokens=2410 | queue=0
07:48:02 Step   59 | loss=-0.2095 | avg_loss=-0.2129 | tokens=3020 | queue=0
07:53:09 Step   60 | loss=-0.2291 | avg_loss=-0.2132 | tokens=1955 | queue=0
